Date,Close
2012-11-05,0.298
2012-11-06,0.298
2012-11-07,0.289
2012-11-08,0.291
2012-11-09,0.279
2012-11-12,0.273
2012-11-13,0.271
2012-11-14,0.264
2012-11-15,0.266
2012-11-16,0.261
2012-11-19,0.268
2012-11-20,0.265
2012-11-21,0.273
2012-11-23,0.275
2012-11-26,0.279
2012-11-27,0.281
2012-11-28,0.283
2012-11-29,0.278
2012-11-30,0.276
2012-12-03,0.271
2012-12-04,0.279
2012-12-05,0.276
2012-12-06,0.276
2012-12-07,0.276
2012-12-10,0.285
2012-12-11,0.292
2012-12-12,0.289
2012-12-13,0.289
2012-12-14,0.29
2012-12-17,0.289
2012-12-18,0.29
2012-12-19,0.292
2012-12-20,0.292
2012-12-21,0.285
2012-12-24,0.283
2012-12-26,0.282
2012-12-27,0.281
2012-12-28,0.279
2012-12-31,0.283
2013-01-02,0.293
2013-01-03,0.294
2013-01-04,0.303
2013-01-07,0.295
2013-01-08,0.288
2013-01-09,0.282
2013-01-10,0.282
2013-01-11,0.282
2013-01-14,0.281
2013-01-15,0.276
2013-01-16,0.279
2013-01-17,0.283
2013-01-18,0.281
2013-01-22,0.279
2013-01-23,0.28
2013-01-24,0.281
2013-01-25,0.286
2013-01-28,0.291
2013-01-29,0.285
2013-01-30,0.284
2013-01-31,0.283
2013-02-01,0.285
2013-02-04,0.281
2013-02-05,0.287
2013-02-06,0.285
2013-02-07,0.283
2013-02-08,0.285
2013-02-11,0.289
2013-02-12,0.287
2013-02-13,0.285
2013-02-14,0.294
2013-02-15,0.294
2013-02-19,0.29
2013-02-20,0.286
2013-02-21,0.283
2013-02-22,0.289
2013-02-25,0.284
2013-02-26,0.287
2013-02-27,0.292
2013-02-28,0.294
2013-03-01,0.295
2013-03-04,0.294
2013-03-05,0.297
2013-03-06,0.297
2013-03-07,0.296
2013-03-08,0.298
2013-03-11,0.295
2013-03-12,0.296
2013-03-13,0.296
2013-03-14,0.296
2013-03-15,0.293
2013-03-18,0.291
2013-03-19,0.289
2013-03-20,0.293
2013-03-21,0.288
2013-03-22,0.29
2013-03-25,0.288
2013-03-26,0.29
2013-03-27,0.294
2013-03-28,0.298
2013-04-01,0.288
2013-04-02,0.285
2013-04-03,0.282
2013-04-04,0.284
2013-04-05,0.289
2013-04-08,0.288
2013-04-09,0.293
2013-04-10,0.298
2013-04-11,0.296
2013-04-12,0.304
2013-04-15,0.298
2013-04-16,0.301
2013-04-17,0.297
2013-04-18,0.291
2013-04-19,0.292
2013-04-22,0.292
2013-04-23,0.3
2013-04-24,0.31
2013-04-25,0.313
2013-04-26,0.311
2013-04-29,0.315
2013-04-30,0.32
2013-05-01,0.317
2013-05-02,0.321
2013-05-03,0.322
2013-05-06,0.321
2013-05-07,0.317
2013-05-08,0.323
2013-05-09,0.323
2013-05-10,0.337
2013-05-13,0.33
2013-05-14,0.335
2013-05-15,0.341
2013-05-16,0.34
2013-05-17,0.345
2013-05-20,0.344
2013-05-21,0.348
2013-05-22,0.336
2013-05-23,0.341
2013-05-24,0.339
2013-05-28,0.339
2013-05-29,0.337
2013-05-30,0.341
2013-05-31,0.338
